sector,num_bedrooms,num_bathrooms,num_balconies,age_group,super_built_up_area,built_up_area,carpet_area,floor_number,servant_room,pooja_room,store_room,furnished,Centrally Air Conditioned,False Ceiling Lighting,Intercom Facility,Private Garden / Terrace,Separate entry for servant room,Spacious Interiors
sector 99,2,2.0,1.0,New Flat,575.0,571.8123280567686,570.17,2.0,0,0,0,0,0,0,0,0,0,0
sector 103,2,3.0,3.0,Moderately New Flat,1886.1480000000001,1640.3954148471616,1452.0,3.0,1,0,0,1,0,0,1,0,0,0
sector 89,3,3.0,2.0,Under Construction,1848.477,1607.6326965065502,1423.0,2.0,0,0,0,0,0,0,1,0,0,0
sohna road,2,2.0,2.0,Moderately New Flat,831.3599999999999,723.0393013100436,640.0,4.0,0,0,0,0,0,0,1,0,0,0
sohna road,2,2.0,3.0,New Flat,1067.778,928.6536026200874,822.0,3.0,0,0,0,0,0,0,1,0,0,0
sector 49,3,4.0,4.0,Moderately Old Flat,2159.0,1885.5895196506551,1665.5409442811774,6.0,0,0,0,0,0,0,0,0,0,0
sector 90,3,4.0,3.0,New Flat,1950.0,1703.056768558952,1504.3097921946714,8.0,1,0,0,0,0,0,1,0,0,0
sector 30,3,2.0,2.0,Old Flat,1458.4883333333332,1300.0,1090.0,2.0,0,0,0,1,0,0,0,0,0,1
sector 89,3,3.0,0.0,Under Construction,1594.4503333333332,1423.0,1190.0,4.0,0,0,0,0,0,0,0,0,0,0
sector 86,2,2.0,1.0,Under Construction,895.7879999999999,783.9110398471616,696.5399124852248,0.0,0,0,0,0,0,0,1,0,0,0
sector 66,5,5.0,4.0,New Flat,3670.0,3205.240174672489,2831.188173002279,11.0,1,0,0,0,0,0,1,1,1,0
sector 15,2,2.0,1.0,New Flat,1000.0,873.3624454148472,771.4409190741906,1.0,0,0,0,0,0,0,0,0,0,0
sohna road,2,2.0,1.0,Moderately New Flat,846.5871666666667,743.0,643.0,11.0,0,0,0,0,0,0,1,0,0,0
sector 61,3,4.0,4.0,Under Construction,2250.0,1685.460876091703,1249.65,21.0,1,0,0,0,0,0,1,0,0,0
sector 109,3,3.0,1.0,Moderately Old Flat,2827.9230000000002,2459.4633733624455,2177.0,4.0,0,0,0,0,0,0,0,0,0,0
sector 4,2,2.0,1.0,Moderately New Flat,844.3500000000001,734.3367903930131,650.0,2.0,0,0,0,0,0,0,0,0,0,0
sector 2,2,1.0,1.0,Moderately New Flat,1169.1,1016.7740174672489,900.0,2.0,0,0,0,0,0,0,0,0,0,0
sector 37,2,2.0,2.0,Under Construction,1452.282,1263.0592794759825,1118.0,4.0,0,0,0,0,0,0,0,0,0,0
sector 65,2,2.0,2.0,Under Construction,1476.8186666666666,1433.0,1000.0,32.0,0,0,0,0,0,0,0,0,0,0
sohna road,3,2.0,2.0,Under Construction,1120.0,978.1659388646289,864.0138293630934,2.0,0,0,0,0,1,1,1,0,0,1
sohna road,3,2.0,0.0,Under Construction,1293.2266666666667,1120.0,993.4631428065259,2.0,0,0,0,0,0,0,0,0,0,0
sector 33,3,3.0,0.0,Under Construction,2304.7146666666667,1996.0,1770.4932437873445,2.0,0,0,0,0,0,0,0,0,0,0
sector 68,2,2.0,2.0,New Flat,1402.92,1220.1288209606987,1080.0,11.0,0,0,0,0,0,0,0,0,0,0
sector 90,4,4.0,4.0,Moderately Old Flat,2727.0,2381.6593886462883,2103.7193863153175,23.0,0,0,0,0,0,0,0,0,0,0
sector 33,3,3.0,2.0,Under Construction,1789.0,1562.4454148471616,1380.1078042237268,6.0,0,0,0,0,0,0,0,0,0,0
sector 22,2,2.0,2.0,Moderately New Flat,1792.6200000000001,1559.0534934497819,1380.0,9.0,0,0,0,0,0,0,1,0,0,0
